Name,Chip manufacturer,Start date,End date,Chip type,Number of units (5th percentile),Number of units (median),Number of units (95th percentile)
MI300A Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI300A,1119,3562,6350
MI250X Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI250X,20550,30360,42918
MI300X Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI300X,24888,34466,47968
MI300A Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI300A,6917,14405,22114
MI250X Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI250X,25294,36989,51546
MI300X Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI300X,90911,115528,145662
MI300A Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI300A,44152,57693,72337
MI250X Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI250X,28620,41496,56980
MI300X Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI300X,168245,211004,261732
MI300A Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI300A,89654,110148,132598
MI250X Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI250X,31856,45019,61428
MI300X Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI300X,262005,327083,400846
MI300A Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI250X,31856,45019,61428
MI300X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI300X,330412,412431,508024
MI325X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI325X,19539,32410,51662
MI300A Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI250X,31856,45019,61428
MI300X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI300X,368042,459096,564980
MI325X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI325X,38478,59239,90631
MI350X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI350X,1654,4082,7053
MI300A Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI250X,31856,45019,61428
MI300X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI300X,405800,506181,621419
MI325X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI325X,51742,79286,120157
MI350X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI350X,31159,40344,51375
MI355X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI355X,8219,12399,17566
