Name,Chip manufacturer,Start date,End date,Chip type,Number of units (5th percentile),Number of units (median),Number of units (95th percentile)
MI300A Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI300A,1119,3562,6350
MI250X Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI250X,20431,30379,42785
MI300X Q1 2024 to Q1 2024,AMD,1/1/2024,3/31/2024,MI300X,25001,34535,47707
MI300A Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI300A,6917,14405,22114
MI250X Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI250X,25303,36940,51422
MI300X Q1 2024 to Q2 2024,AMD,1/1/2024,6/30/2024,MI300X,90999,115233,145920
MI300A Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI300A,44152,57693,72337
MI250X Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI250X,28783,41432,57310
MI300X Q1 2024 to Q3 2024,AMD,1/1/2024,9/30/2024,MI300X,168973,210610,259997
MI300A Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI300A,89654,110148,132598
MI250X Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI250X,31815,45023,61621
MI300X Q1 2024 to Q4 2024,AMD,1/1/2024,12/31/2024,MI300X,262588,326665,400319
MI300A Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI250X,31815,45023,61621
MI300X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI300X,330206,412547,506963
MI325X Q1 2024 to Q1 2025,AMD,1/1/2024,3/31/2025,MI325X,19778,32505,52008
MI300A Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI250X,31815,45023,61621
MI300X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI300X,368110,458975,563938
MI325X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI325X,38619,59449,90850
MI350X Q1 2024 to Q2 2025,AMD,1/1/2024,6/30/2025,MI350X,1659,4080,7018
MI300A Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI300A,94212,114813,137640
MI250X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI250X,31815,45023,61621
MI300X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI300X,404401,505329,620465
MI325X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI325X,51465,79070,120708
MI350X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI350X,31241,40386,51363
MI355X Q1 2024 to Q3 2025,AMD,1/1/2024,9/30/2025,MI355X,8145,12411,17503
