Quarter,Start Date,End Date,AI Semis Revenue (Billions),XPU Revenue (Billions),TPU Revenue p5 (Billions),TPU Revenue p95 (Billions),TPUv3 Share Low,TPUv3 Share High,TPUv4 Share Low,TPUv4 Share High,TPUv5e Share Low,TPUv5e Share High,TPUv5p Share Low,TPUv5p Share High,TPUv6e Share Low,TPUv6e Share High,TPUv7 Share Low,TPUv7 Share High,Notes
FY23Q1,10/31/22,1/29/23,0.8,0.536,0.42,0.53,0.15,0.3,0.7,0.85,,,,,,,,,todo
FY23Q2,1/30/23,4/30/23,1,0.67,0.53,0.66,0.01,0.1,0.9,0.99,,,,,,,,,
FY23Q3,5/1/23,7/30/23,1,0.67,0.53,0.66,,,0.87,0.98,0.01,0.08,,,,,,,
FY23Q4,7/31/23,10/29/23,1.5,1.005,0.79,0.99,,,0.8,0.92,0.08,0.2,,,,,,,
FY24Q1,10/30/23,2/4/24,2.3,1.541,1.25,1.4,,,0.35,0.6,0.35,0.6,0.02,0.08,,,,,
FY24Q2,2/5/24,5/5/24,3.1,2.077,1.65,1.9,,,,,0.65,0.85,0.15,0.3,,,,,
FY24Q3,5/6/24,8/4/24,3.2,2.144,1.85,2,,,,,0.3,0.7,0.25,0.6,0.01,0.03,,,
FY24Q4,8/5/24,11/3/24,3.7,2.479,2.1,2.3,,,,,0.3,0.55,0.3,0.55,0.01,0.08,,,
FY25Q1,11/4/24,2/2/25,4.1,2.747,2.2,2.5,,,,,0.15,0.4,0.15,0.4,0.1,0.25,,,
FY25Q2,2/3/25,5/4/25,4.4,2.948,2.4,2.8,,,,,0.2,0.35,0.2,0.35,0.3,0.45,,,
FY25Q3,5/5/25,8/3/25,5.2,3.484,2.9,3.2,,,,,0.1,0.3,0.1,0.35,0.35,0.65,0.01,0.1,
FY25Q4,8/4/25,11/2/25,6.43,4.308,3.6,4,,,,,0.01,0.25,0.05,0.25,0.4,0.8,0.1,0.2,
