quarter,gpu_model,share_low,share_high,notes
Q1 2024,MI300A,0.01,0.05,
Q1 2024,MI250X,0.25,0.50,
Q1 2024,MI300X,0.45,0.60,
Q2 2024,MI300X,0.75,0.90,
Q2 2024,MI300A,0.02,0.10,
Q2 2024,MI250X,0.01,0.10,
Q3 2024,MI300X,0.70,0.90,
Q3 2024,MI300A,0.15,0.25,
Q3 2024,MI250X,0.01,0.05,
Q4 2024,MI300X,0.75,0.85,
Q4 2024,MI300A,0.15,0.25,
Q4 2024,MI250X,0.01,0.03,
Q1 2025,MI300X,0.50,0.85,
Q1 2025,MI325X,0.20,0.40,
Q1 2025,MI300A,0.01,0.03,
Q2 2025,MI300X,0.40,0.70,
Q2 2025,MI325X,0.25,0.50,
Q2 2025,MI350X,0.04,0.15,Initial ramp
Q3 2025,MI300X,0.15,0.35,
Q3 2025,MI325X,0.05,0.20,
Q3 2025,MI350X,0.30,0.45,
Q3 2025,MI355X,0.10,0.20,
