Name,Chip manufacturer,Start date,End date,Chip type,Number of units (5th percentile),Number of units (median),Number of units (95th percentile)
TPU v4 Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v4,48611,66199,87606
TPU v4i Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v4i,12330,20502,31093
TPU v5e Q4 2022 to Q4 2022,Google,10/1/2022,12/31/2022,TPU v5e,9754,15751,23615
TPU v4 Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v4,136993,185119,241643
TPU v4i Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q1 2023,Google,10/1/2022,3/31/2023,TPU v5e,33798,55082,81712
TPU v4 Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v4,185378,250959,328629
TPU v4i Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q2 2023,Google,10/1/2022,6/30/2023,TPU v5e,123906,176092,244450
TPU v4 Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q3 2023,Google,10/1/2022,9/30/2023,TPU v5e,314295,426302,570735
TPU v4 Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v5e,606142,817511,1081280
TPU v5p Q4 2022 to Q4 2023,Google,10/1/2022,12/31/2023,TPU v5p,7354,14501,22601
TPU v4 Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v5e,918949,1238354,1636286
TPU v5p Q4 2022 to Q1 2024,Google,10/1/2022,3/31/2024,TPU v5p,71142,98476,129780
TPU v4 Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v5e,1194096,1617081,2142751
TPU v5p Q4 2022 to Q2 2024,Google,10/1/2022,6/30/2024,TPU v5p,179582,244657,318299
TPU v4 Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v5e,1456636,1981560,2638384
TPU v5p Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v5p,300281,406738,532091
TPU v6e Q4 2022 to Q3 2024,Google,10/1/2022,9/30/2024,TPU v6e,16857,40296,71522
TPU v4 Q4 2022 to Q4 2024,Google,10/1/2022,12/31/2024,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q4 2024,Google,10/1/2022,12/31/2024,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q4 2024,Google,10/1/2022,12/31/2024,TPU v5e,1686847,2284540,3031826
TPU v5p Q4 2022 to Q4 2024,Google,10/1/2022,12/31/2024,TPU v5p,401394,543952,709058
TPU v6e Q4 2022 to Q4 2024,Google,10/1/2022,12/31/2024,TPU v6e,150387,215810,295613
TPU v4 Q4 2022 to Q1 2025,Google,10/1/2022,3/31/2025,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q1 2025,Google,10/1/2022,3/31/2025,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q1 2025,Google,10/1/2022,3/31/2025,TPU v5e,1762157,2380572,3156760
TPU v5p Q4 2022 to Q1 2025,Google,10/1/2022,3/31/2025,TPU v5p,476215,639295,829860
TPU v6e Q4 2022 to Q1 2025,Google,10/1/2022,3/31/2025,TPU v6e,471573,625537,798567
TPU v4 Q4 2022 to Q2 2025,Google,10/1/2022,6/30/2025,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q2 2025,Google,10/1/2022,6/30/2025,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q2 2025,Google,10/1/2022,6/30/2025,TPU v5e,1762157,2380572,3156760
TPU v5p Q4 2022 to Q2 2025,Google,10/1/2022,6/30/2025,TPU v5p,498889,670697,871666
TPU v6e Q4 2022 to Q2 2025,Google,10/1/2022,6/30/2025,TPU v6e,990611,1293848,1606421
TPU v4 Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v5e,1762157,2380572,3156760
TPU v5p Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v5p,498889,670697,871666
TPU v6e Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v6e,1565167,2035121,2517015
TPU v7 Q4 2022 to Q3 2025,Google,10/1/2022,9/30/2025,TPU v7,23782,51898,78999
TPU v4 Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v4,192512,262025,344458
TPU v4i Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v4i,18098,30092,45637
TPU v5e Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v5e,1762157,2380572,3156760
TPU v5p Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v5p,498889,670697,871666
TPU v6e Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v6e,1765811,2294854,2839507
TPU v7 Q4 2022 to Q4 2025,Google,10/1/2022,12/31/2025,TPU v7,37314,81427,123946
